agg_næring,år,totGDP,secGDP/totGDP,GWh/gdp,fossGWh/totGWh,mtCO2e/fossGWh,mtCO2e,res
"Jordbruk, skogbruk og fiske",1990,1776729.0,0.0126777916046847,0.2475915649278579,1.9998206921283843,0.5546489733703936,6186.0,0.0
"Jordbruk, skogbruk og fiske",1991,1781787.0,0.0144209156313296,0.210430044755789,2.0,0.5614943591640466,6072.0,0.0
"Jordbruk, skogbruk og fiske",1992,1833320.0,0.0137641001025462,0.2183958151700087,1.9998185447287244,0.5497686235368842,6059.0,0.0
"Jordbruk, skogbruk og fiske",1993,1857118.0,0.0155509773746202,0.224168975069252,1.9998455359901144,0.4690661929404495,6073.0,0.0
"Jordbruk, skogbruk og fiske",1994,1961089.0,0.014942718051042,0.2199017199017199,2.000155183116077,0.4699356040034138,6057.0,0.0
"Jordbruk, skogbruk og fiske",1995,2018526.0,0.0148989906496126,0.1952517124426414,2.0,0.5070674386920981,5955.0,0.0
"Jordbruk, skogbruk og fiske",1996,2117728.0,0.0141396817721633,0.2115281859471012,2.0,0.4864224818440164,6162.0,0.0
"Jordbruk, skogbruk og fiske",1997,2222870.0,0.0132895760885701,0.2097762431874344,2.0001613684040667,0.49035901573215,6078.0,0.0
"Jordbruk, skogbruk og fiske",1998,2256049.0,0.0132971402660137,0.2489749658321944,2.0,0.4153835854866782,6205.0,0.0
"Jordbruk, skogbruk og fiske",1999,2293937.0,0.012986843143469,0.2612198314927327,2.0,0.4054227704960164,6310.0,0.0
"Jordbruk, skogbruk og fiske",2000,2381713.0,0.0120148817258838,0.2646421582331563,2.000132048065496,0.400541361325675,6067.0,0.0
"Jordbruk, skogbruk og fiske",2001,2418961.0,0.0116963440088533,0.2816244300710423,2.0,0.3826556224899598,6098.0,0.0
"Jordbruk, skogbruk og fiske",2002,2419667.0,0.0129183065273031,0.2454731588713289,1.999869672878926,0.3934832192896709,6038.0,0.0
"Jordbruk, skogbruk og fiske",2003,2445845.0,0.0125514903847136,0.2218964787126616,2.0,0.4363623018203171,5945.0,0.0
"Jordbruk, skogbruk og fiske",2004,2517952.0,0.014124574257174,0.1938422606495149,2.0001450536698577,0.4264268619914425,5880.0,0.0
"Jordbruk, skogbruk og fiske",2005,2489504.0,0.0148985500726249,0.1807764896198436,2.0001491424310216,0.4339721124450078,5820.0,0.0
"Jordbruk, skogbruk og fiske",2006,2541231.0,0.0150427096159302,0.1791403981479059,1.9998539719626167,0.4208105147864184,5763.0,0.0
"Jordbruk, skogbruk og fiske",2007,2579927.0,0.0157888188309204,0.1686551774930033,2.000145560407569,0.4184557164689615,5750.0,0.0
"Jordbruk, skogbruk og fiske",2008,2597209.0,0.0163976021952796,0.1599041983657368,1.9997063142437592,0.4184902335144661,5699.0,0.0
"Jordbruk, skogbruk og fiske",2009,2543097.0,0.0170422127036444,0.1656898938624827,2.000139256370979,0.400891178723108,5758.0,0.0
"Jordbruk, skogbruk og fiske",2010,2550537.0,0.0184482718737269,0.1376107793339425,1.99984555984556,0.4288362035678431,5553.0,0.0
"Jordbruk, skogbruk og fiske",2011,2567673.0,0.0185549328127062,0.1230401108242554,2.0,0.4620436711020129,5417.0,0.0
"Jordbruk, skogbruk og fiske",2012,2637544.0,0.0193756009378421,0.1172510958046336,2.0,0.4538551401869158,5439.0,0.0
"Jordbruk, skogbruk og fiske",2013,2670968.0,0.0177774499731932,0.12440241770739,2.0,0.4609785000846453,5446.0,0.0
"Jordbruk, skogbruk og fiske",2014,2722102.0,0.0186003316554633,0.1123202717648917,2.0001758396342537,0.4843076923076923,5509.0,0.0
"Jordbruk, skogbruk og fiske",2015,2768846.0,0.0172765115864154,0.1267455472865624,1.999670130298532,0.465522929726163,5644.0,0.0
"Jordbruk, skogbruk og fiske",2016,2794643.0,0.0160868490179246,0.1416242186978668,2.0,0.4520182189414167,5756.0,0.0
"Jordbruk, skogbruk og fiske",2017,2860728.0,0.0164430173018895,0.1435829843321499,2.0,0.4295972756884809,5803.0,0.0
"Jordbruk, skogbruk og fiske",2018,2888791.0,0.0159125391902702,0.1529759832927253,2.00014220705347,0.4147173835762531,5833.0,0.0
"Jordbruk, skogbruk og fiske",2019,2932024.0,0.0160199916508186,0.1477294500862234,2.00028822596916,0.4160662824207493,5775.0,0.0
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester",1990,1776729.0,0.1832547338395444,0.0881895858031781,0.5974785818764365,0.5326416414082537,9138.0,0.0
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester",1991,1781787.0,0.2072368919517316,0.0809447206785609,0.5763324299909666,0.5160222918843609,8889.0,0.0
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester",1992,1833320.0,0.2196234154430214,0.078797436916352,0.5535663630346392,0.5407959915731937,9498.0,0.0
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester",1993,1857118.0,0.2218878929610288,0.0820681822594109,0.4905671535868472,0.6078963230861965,10085.0,0.0
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester",1994,1961089.0,0.2407917233741049,0.077246756767059,0.4813169942703621,0.616335364811756,10821.0,0.0
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester",1995,2018526.0,0.2551168525944179,0.0765379835327015,0.4512102298675597,0.6522717049032839,11600.0,0.0
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester",1996,2117728.0,0.2713412676226597,0.0741889956441309,0.4654124932560812,0.627135729045915,12443.0,0.0
