agg_næring,år,totGDP,secGDP_totGDP,GWh_gdp,fossGWh_totGWh,mtCO2e_fossGWh,mtCO2e,res
"Jordbruk, skogbruk og fiske",1990,1776729.0,0.012677791604684789,0.24759156492785794,1.9998206921283845,0.5546489733703936,6186.0,0.0
"Jordbruk, skogbruk og fiske",1991,1781787.0,0.01442091563132967,0.21043004475578905,2.0,0.5614943591640466,6072.0,0.0
"Jordbruk, skogbruk og fiske",1992,1833320.0,0.0137641001025462,0.21839581517000872,1.9998185447287244,0.5497686235368842,6059.0,0.0
"Jordbruk, skogbruk og fiske",1993,1857118.0,0.015550977374620245,0.22416897506925207,1.9998455359901144,0.46906619294044954,6073.0,0.0
"Jordbruk, skogbruk og fiske",1994,1961089.0,0.014942718051042048,0.2199017199017199,2.000155183116077,0.4699356040034138,6057.0,0.0
"Jordbruk, skogbruk og fiske",1995,2018526.0,0.014898990649612639,0.19525171244264147,2.0,0.5070674386920981,5955.0,0.0
"Jordbruk, skogbruk og fiske",1996,2117728.0,0.014139681772163374,0.21152818594710127,2.0,0.48642248184401643,6162.0,0.0
"Jordbruk, skogbruk og fiske",1997,2222870.0,0.013289576088570182,0.2097762431874344,2.0001613684040667,0.49035901573215007,6078.0,0.0
"Jordbruk, skogbruk og fiske",1998,2256049.0,0.013297140266013726,0.24897496583219442,2.0,0.41538358548667825,6205.0,0.0
"Jordbruk, skogbruk og fiske",1999,2293937.0,0.012986843143469066,0.2612198314927327,2.0,0.40542277049601644,6310.0,0.0
"Jordbruk, skogbruk og fiske",2000,2381713.0,0.01201488172588385,0.2646421582331563,2.000132048065496,0.400541361325675,6067.0,0.0
"Jordbruk, skogbruk og fiske",2001,2418961.0,0.011696344008853388,0.2816244300710423,2.0,0.3826556224899598,6098.0,0.0
"Jordbruk, skogbruk og fiske",2002,2419667.0,0.012918306527303138,0.24547315887132895,1.999869672878926,0.3934832192896709,6038.0,0.0
"Jordbruk, skogbruk og fiske",2003,2445845.0,0.012551490384713667,0.22189647871266166,2.0,0.4363623018203171,5945.0,0.0
"Jordbruk, skogbruk og fiske",2004,2517952.0,0.014124574257174085,0.19384226064951499,2.0001450536698577,0.4264268619914425,5880.0,0.0
"Jordbruk, skogbruk og fiske",2005,2489504.0,0.014898550072624908,0.18077648961984363,2.0001491424310216,0.43397211244500783,5820.0,0.0
"Jordbruk, skogbruk og fiske",2006,2541231.0,0.015042709615930232,0.17914039814790594,1.9998539719626167,0.4208105147864184,5763.0,0.0
"Jordbruk, skogbruk og fiske",2007,2579927.0,0.01578881883092041,0.16865517749300338,2.000145560407569,0.4184557164689615,5750.0,0.0
"Jordbruk, skogbruk og fiske",2008,2597209.0,0.016397602195279627,0.15990419836573683,1.9997063142437592,0.4184902335144661,5699.0,0.0
"Jordbruk, skogbruk og fiske",2009,2543097.0,0.017042212703644415,0.1656898938624827,2.000139256370979,0.400891178723108,5758.0,0.0
"Jordbruk, skogbruk og fiske",2010,2550537.0,0.018448271873726985,0.13761077933394258,1.9998455598455598,0.4288362035678431,5553.0,0.0
"Jordbruk, skogbruk og fiske",2011,2567673.0,0.01855493281270629,0.1230401108242554,2.0,0.46204367110201294,5417.0,0.0
"Jordbruk, skogbruk og fiske",2012,2637544.0,0.019375600937842175,0.11725109580463369,2.0,0.45385514018691586,5439.0,0.0
"Jordbruk, skogbruk og fiske",2013,2670968.0,0.01777744997319324,0.12440241770739001,2.0,0.46097850008464536,5446.0,0.0
"Jordbruk, skogbruk og fiske",2014,2722102.0,0.018600331655463313,0.11232027176489177,2.0001758396342537,0.48430769230769233,5509.0,0.0
"Jordbruk, skogbruk og fiske",2015,2768846.0,0.017276511586415425,0.12674554728656243,1.999670130298532,0.465522929726163,5644.0,0.0
"Jordbruk, skogbruk og fiske",2016,2794643.0,0.01608684901792465,0.14162421869786684,2.0,0.4520182189414167,5756.0,0.0
"Jordbruk, skogbruk og fiske",2017,2860728.0,0.01644301730188959,0.14358298433214992,2.0,0.4295972756884809,5803.0,0.0
"Jordbruk, skogbruk og fiske",2018,2888791.0,0.015912539190270254,0.15297598329272538,2.00014220705347,0.4147173835762531,5833.0,0.0
"Jordbruk, skogbruk og fiske",2019,2932024.0,0.016019991650818684,0.1477294500862234,2.0002882259691597,0.4160662824207493,5775.0,0.0
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester",1990,1776729.0,0.18325473383954446,0.08818958580317819,0.5974785818764365,0.5326416414082537,9138.0,0.0
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester",1991,1781787.0,0.20723689195173162,0.08094472067856098,0.5763324299909666,0.5160222918843609,8889.0,0.0
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester",1992,1833320.0,0.2196234154430214,0.07879743691635208,0.5535663630346392,0.5407959915731937,9498.0,0.0
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester",1993,1857118.0,0.22188789296102887,0.08206818225941098,0.4905671535868472,0.6078963230861965,10085.0,0.0
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester",1994,1961089.0,0.2407917233741049,0.077246756767059,0.4813169942703621,0.616335364811756,10821.0,0.0
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester",1995,2018526.0,0.2551168525944179,0.07653798353270157,0.45121022986755976,0.6522717049032839,11600.0,0.0
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester",1996,2117728.0,0.27134126762265975,0.0741889956441309,0.46541249325608125,0.627135729045915,12443.0,0.0
